"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tyre_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","Mountain Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","41 cm","","","","","","","Aluminium Alloy","","","","","","","","","","","","","No","","29 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","1","AU $1,000.00","ebay_australia_bike","2022-10-17 17:36:42","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/403910014494?hash=item5e0ae9b61e:g:I0kAAOSw9DJjM9d8&amdata=enc%3AAQAHAAAAoIJP%2Fe1VSs9IS%2FqJzmsam3hGkCdHgacsn7%2Bn2uo%2FJ5D4bD6I5cjeWdqFHSlSFUx4g87JDY6j8vN2mbz3bfRSX84n39gtkNPWYFszbnbHv6aFE15UOfyjqFxvRAwvmdwa4PNC0Dy8wt3kuQd6DAiEpXzSrdNKNLJj2sba6xU3Y12djmAdcA2Yw263WG6E8D%2Fgk%2B%2FrTV4LkRd0dWD9KBF3DXs%3D%7Ctkp%3ABk9SR6j7pvD8YA",""," mens mountain bike used","","Bikes"
"","","Kids Bike","","Giant","","","","Used","","Unisex Kids","","","","","","","","","","","","Alloy","","","","","","","","","","","","","No","","24 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","2","","ebay_australia_bike","2022-10-17 17:36:43","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/185619434620?hash=item2b37c7cc7c:g:lH0AAOSwaPtjSoiU&amdata=enc%3AAQAHAAAA4Ed%2BhKYUISdg8aPXiIYdkhwD2gs%2BqlefVHFPUshdfID%2BMXIjWi69Sfp5fKLY6TXC%2FQhUH3rGOzkkI9M1vfGtAu4TgB%2BQXsuOGwTHcZkBMOfRWULTIreJjHaJIwC%2BNlUWLseIfRtSalmt8PRNMCvDOan8xzA%2FNdAwo05Ax9XXEReBkQJmpaIJGAJbHS%2B%2FnZRrlYAPASAdDrxNq6suECbQGbx6PNrBM0uiejuWeUD5z6wM%2Bi12c4sd8wVV3i0lVnc3tLz1fNyrCScxRWDhfPei1NNRhJI%2B7ZqF4HuJNE%2BwplvB%7Ctkp%3ABk9SR5z7pvD8YA","AU $400.00"," Giant TCR Espoir 24"" Kids racing bike","0","Bikes"
"","","Kids Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","24 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","3","","ebay_australia_bike","2022-10-17 17:36:43","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/144770918167?hash=item21b504e717:g:kXsAAOSwyxZjTScL&amdata=enc%3AAQAHAAAAoCIhk3480z6xGVsqmxFzHw3bw72zX53E8aUPF7rjGZzr6ehLoU%2Bj9wOMkf6WEDbaxATSKQynm7WW1dwmQ4oJVMrAtpGn%2FKo69UibNz3e48JnCC9PWK48fjxGulSS%2FZWVkFzE3ofFD0X1%2FNG2S2K8GzBot7EXF%2BuwWbc8vqH%2BMWAtdhtm30k1Nep8lcEDlesKdZiDCt%2BkrSs29vogYCx9hPQ%3D%7Ctkp%3ABk9SR5r7pvD8YA","AU $50.00"," Giant 24 inch kids bike","0","Bikes"
"","","Mountain Bike","Fixed Caliper Brake","Giant","","","White","New other (see details): An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second (i.e. it has a small flaw that does not affect the operation of the item such as a scratch or dent). See the seller's listing for full details and description. ","","Unisex Adults","","","","","Medium","","Automatic Gear Box","","Flat Bar","","","Aluminium Alloy, Steel, Aluminium","Giant","","7 Speed","","","","Thumb Shifter","","","Front","Tubular Tyres","","No","","26 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","4","AU $380.00","ebay_australia_bike","2022-10-17 17:36:43","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/374306798144?hash=item57266c7a40:g:VxUAAOSwKQRjSygc&amdata=enc%3AAQAHAAAA4B6VvgJZiljDDFoX%2Fj6PhvV6LkAx53Rvk9cKxxBGIoK3irRGMhM6KizJ51c8nyVwSY8EVOS71OJNlTjcGfJyPFq%2FEXYlP7lr2BTZtxrJAr%2BXPYPPJ1Spf7%2Bgjfczxz69Bh0VBzXK1uwo8dXxXo87rO5NkTBWhg6v9S9etlmqTu82TpNj3b5doiLKAv1EnVNWpSCclcTfcxMcilR1178hWQi1i%2B17H8roTwIAKsRxl4ZI2HxOh7j4REQ2ku1WKUwvRWWCvHwBEYnCmOwmp4ZMQxGaWbm1oSc%2BShzDZwvrVo55%7Ctkp%3ABk9SR5r7pvD8YA","AU $264.00"," Giant Aluxx 6000 White/Aqua 26' Mountain Bike NEW CONDITION ‼️ PRICE NEGOTIABLE","0","Bikes"
"","","City Bike","V-Brake (Direct/Linear Pull)","Giant","","","Black","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Women","","Adjustable Seat, Bell, Bottle Cage, Fenders, Kickstand, Lightweight, Reflectors","","","Medium","","Derailleur Gears","","Flat Bar","","","Composite","","","20 Speed","","","","Road Bike Shifter","","","","Clincher Tyres","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","5","AU $760.00","ebay_australia_bike","2022-10-17 17:36:43","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/285004651640?hash=item425b99dc78:g:By0AAOSwfdZjQ7gX&amdata=enc%3AAQAHAAAAoNBpZXK0GuzsByxJHv0%2FK9agCn9dtLsDEIdY5gN48gF2yESw6rwfaz10CLrm5LwMbME1XVG45zceS9TEHB%2Fc4YczF9X%2BTxj6FvpIrlX4S02Lj3zxENlNHfXsHNzmg0%2FWpTJxKPAakP3bl5hFWrLNnSIVGOPR6%2FZ6aYw%2BPnNUVmDWJIS8JzMel66O1SwiVqrE05fhXwqC6c93wsj2r8z5sLg%3D%7Ctkp%3ABk9SR5r7pvD8YA",""," Giant Cross City Rx Women’s bike - like new","","Bikes"
"","","Hybrid Bike","","Giant Yukon","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","Large","","","","","","","Aluminium Alloy","","","24 Speed","","","","","","","","","","","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","6","AU $325.00","ebay_australia_bike","2022-10-17 17:36:44","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/165725790835?hash=item269606e273:g:~1YAAOSwZiBjSQMD&amdata=enc%3AAQAHAAAAoFW2nnvVf6wLsrQPgV4vO%2F0Htr9MmlvGQc4BtgAAwXRO6TTYnKW5KIlsnx9szT75wPzs9uAaPxjoolOVCfuZdxAISoGxho6JtsdNERcxILt%2BsfnvNXq9DRgm4dhH60hiQ7luVckijIeiZ0bYMKBBXH63wDO7clf98BrZF3WC6M14hJdhYDlEc2GeVpZj6xLXGQc2DCeuYQpiIVmGolpqpTg%3D%7Ctkp%3ABk9SR5z7pvD8YA",""," Giant Road Bike YUKON Large, 700x25 wheels, 24 speed, disc brakes","","Bikes"
"","","Kids Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","24 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","7","","ebay_australia_bike","2022-10-17 17:36:44","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/144770920894?hash=item21b504f1be:g:qrwAAOSwprBjTSik&amdata=enc%3AAQAHAAAAoAQ6bw%2BgoL%2FETlu3KcJtvmTAX1UFiBqpAYN8KHwWz6Ej9Qln7uFpmjkrIQxJ00HdigWcenw1okCSwE9yX4ZNl9o%2FbE99yWbtxsnqhOiGO9pBdg5fuwsFiVr4nv0DfAT2IgMkvwsAIU4DmBdiFXVkWJGibqoJHEgKVCE5lpAUmu23bI%2BCDy4MVZBEmHEz4sI479DqNK638GsRhcizyx9HFl4%3D%7Ctkp%3ABk9SR5j7pvD8YA","AU $50.00"," Giant kids 24 inch bike","0","Bikes"
"","","Road Bike","Hub Brake","Giant Rincon","","","Silver","Used","","Men","","","","","Large","","Derailleur Gears","","Flat Bar","","","Aluminium Alloy","","","24 Speed","","","","Thumb Shifter","","","Front","","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","8","AU $295.00","ebay_australia_bike","2022-10-17 17:36:44","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/165725802793?hash=item2696071129:g:froAAOSwrbRjSQSe&amdata=enc%3AAQAHAAAAoP4HuVQUK5TTRBwliFnbyIjtod46vaOW8SWvLij13ydh5iGCFku6rlV7Frl83AEh%2BwWHDJ6rkAAT%2FTBZsOQiUACIKN0aX8DIHKL7x%2BICqLpOBEvJJ5wbR22Sn0XZYZu9V%2FOanFRoqIvILuBai0ul2Vw931o9FkscK00j53StgD7OYdN%2Fx3ym%2Fbk6bDtskLRsX6HwMjM%2FpbAvWt1QuYwqd7E%3D%7Ctkp%3ABk9SR5z7pvD8YA",""," Giant Road Bike Rincon Large, 700x35 wheels, 24 speed, disc brakes","","Bikes"
"","","Mountain Bike","","Giant","","","Black","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","X-Small","","","","","","","","Enchant","","21 Speed","","","","Trigger Shifter","","","Front","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","9","","ebay_australia_bike","2022-10-17 17:36:44","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/285001233910?hash=item425b65b5f6:g:3FIAAOSwVJ9jSQNi&amdata=enc%3AAQAHAAAAoNignXLgG1%2Bro%2FH5KoXLhzTfpqpmxOxxU5Tc%2Fnvq0%2FwAx0VIf5iyGkULQrf4sXwrMC8vtAN3g4FKYmTq4m17hd51HdiNJT94vlUpgyp2sdz8Ro085Zu6bnrdgbnxJzTrVDcfZNUt3GAcNe3JUKA6l5e9LQcA4qhpipnk6k9lJOI4QbiH6vqb26%2BY%2FrrL%2BRm%2FEyCuIfF9aU7W02yK2vFwZrI%3D%7Ctkp%3ABk9SR5z7pvD8YA","AU $10.00"," gaint mountain bike XS 21 Speed","1","Bikes"
"","","Mountain Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","26 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","10","","ebay_australia_bike","2022-10-17 17:36:44","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/225207528558?hash=item346f6a2c6e:g:wdMAAOSw~mpjS39M&amdata=enc%3AAQAHAAAAoKXpSXOZF60iH0QrOkPZ6isDqUQxrkNO50i3MFCXm7wrEh7fiCZdYQRcwP%2BGFFmPP4M6uy3BXqkqnGBggCOudPq0Bh0wOMxqOyQIA5OOCgG9gKRmKzxprJVqk349SxG2R3q%2Fw4N0sMSU8jP73ALe%2B%2F7nnIIeMAxRZ3L%2FJafv%2FNCfRgSM1xG13Pg7z2MYQ4Wn1Hpkxk4qvHX3EHFo6L5xTXM%3D%7Ctkp%3ABk9SR5r7pvD8YA","AU $20.00"," Giant Bike for used parts or frame","0","Bikes"
"","","Mountain Bike","","Giant","","","Blue","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Unisex Kids","","","","","Medium","","","","","","","Aluminium","","","","","","","","","","Front","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","11","AU $50.00","ebay_australia_bike","2022-10-17 17:36:44","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/285003583053?hash=item425b898e4d:g:2MsAAOSw2ihjS9xt&amdata=enc%3AAQAHAAAAoIJ%2FY1naHm%2FVRxnDTnyHeW3HwzuNAqAcWK5dBd2jQfCWBUdj0TamK7pR6%2FkcthN39QgmtWbZs4J%2FxROn9wNCy2GdV2XkeheyGVI5EfiM6NlbPxW3dTeYPrUYsT6nWFNaRBUfc1dZH6iFrY2LIS4x4%2FJQMuEx6CIao7p%2B8af7UXj8xvRwdFwMEZLTMMNMc478CHzvam7MWaGOVNdgSXgqRd0%3D%7Ctkp%3ABk9SR5r7pvD8YA",""," Giant Mountain Bike MTX225 - Boys Bike Blue","","Bikes"
"","","Mountain Bike","Rim Brake - Mechanical","Giant","","","Silver","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Boys","","","","","Large","","Hub Gears","","Bullhorn Bar","","","Aluminium","BMW M Bike","","21 Speed","","","","Thumb Shifter","","","Front","","","No","","26 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","12","","ebay_australia_bike","2022-10-17 17:36:44","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/115566104305?hash=item1ae846cef1:g:e3gAAOSwJpRjSo49&amdata=enc%3AAQAHAAAAoIN9vUvYZk%2FLPzLz15%2BSnQhC6meX%2FgZQeeVwQj%2Ff%2FJigLFG%2Bn1KYH8DaclQ5U%2FaeZ4a%2FoXJwDVs2QRIOs6HmB86fc4c%2B0qsO%2BjEGZmMwGWUJKaH2M702mO7%2FnRzzem%2Budip6UOmjJJ%2Fx47q7U847vmI8IkEx5BKGBsuZoR67ouioNHUZZawy4alH6m9j%2F9dyEzriNWcLpeHbeO7khjcqS1U%3D%7Ctkp%3ABk9SR5z7pvD8YA","AU $328.00"," Selling GIANT UPLAND-SE","0","Bikes"
