"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tire_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","Racing Bike","Disc Brake - Hydraulic","Giant","","","Gloss Amber Glow / Matte Carbon","New:  A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is found in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Medium","","","","Drop Bar","","Does Not Apply","Carbon Fiber","TCR ADV PRO 0 DB AX","2022","24 Speed","","","","Road Bike Shifter","","","No Suspension","Clincher Tires","","","","700C","Sporting Goods>Cycling Equipment>Bikes","S dollar","622154","AEID-5183","1","US $6,198.00","ebay_singapore_bike","2022-10-11 08:50:28","https://www.ebay.com.sg","Singapore","https://www.ebay.com.sg/itm/325300383815?hash=item4bbd69f047:g:crwAAOSwYXli81ux&amdata=enc%3AAQAHAAAAoMEAnpnulcuH2GXAyhBggNvINI3Elx%2B8zV7osXYIW0kKGmeFmoxDXz3dgLNPTQkfl2MWYZq4x08%2BVwGzgq7qN%2FfwtC0aC827VTNYmlNoGb%2B95tqI4PRlvXDGhghM7b7x4nGDTqgpUW7iJ%2FKB8Gu9U62ZcYQm2VHeswTJf5Ul4tawJw5yBktrRo%2FOdSidK%2BEsP59Nt1O9KRuc27bYuPjM1vE%3D%7Ctkp%3ABk9SR9jB5-P4YA","","GIANT TCR ADV PRO 0 DB AX M AMBER GLOW 2022 Road Bike - race Carbon Bike","","Bike"
"","","Racing Bike","Disc Brake - Hydraulic","Giant","","","Panther/Iris / Reflective Black","New:  A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is found in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Medium","","","","Drop Bar","","Does Not Apply","Carbon Fiber","PROPEL ADVANCED PRO DISC 0","2022","24 Speed","","","","Road Bike Shifter","","","No Suspension","Clincher Tires","","","","700C","Sporting Goods>Cycling Equipment>Bikes","S dollar","622154","AEID-5183","2","US $6,198.00","ebay_singapore_bike","2022-10-11 08:50:29","https://www.ebay.com.sg","Singapore","https://www.ebay.com.sg/itm/325300480813?hash=item4bbd6b6b2d:g:IgUAAOSwf1Bi83yc&amdata=enc%3AAQAHAAAAoCoajfxArCYX3jtAqYwcoJk6OVc3yklWBBzUuu%2BBDOHF4mM71BAUwtcentwoitxpv62v%2Bo0%2Fwdki9BAVoYOWD1s2oTm1f69YCG7E8V1yhkrs67A8ZfPwwyxLdiL6sEbjOLAcl%2BYZrmHEw33L3zunbKvMH78DriqDRJUkObl7hbrDFzxcxYsTpfJlPTTwapxJ9K5VSxW38%2F84KPmr2hK8DNQ%3D%7Ctkp%3ABk9SR9jB5-P4YA","","GIANT PROPEL ADV PRO DB 0 M PANTHER 2022  Road Bike - race Carbon Bike","","Bike"
"","","Racing Bike","Disc Brake - Hydraulic","Giant","","","Panther/Iris / Reflective Black","New:  A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is found in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","X-Small","","","","Drop Bar","","Does Not Apply","Carbon Fiber","PROPEL ADVANCED PRO DISC 0","2022","24 Speed","","","","Road Bike Shifter","","","No Suspension","Clincher Tires","","","","700C","Sporting Goods>Cycling Equipment>Bikes","S dollar","622154","AEID-5183","3","US $6,198.00","ebay_singapore_bike","2022-10-11 08:50:29","https://www.ebay.com.sg","Singapore","https://www.ebay.com.sg/itm/325300480812?hash=item4bbd6b6b2c:g:4K0AAOSwUT1i83yd&amdata=enc%3AAQAHAAAAoOJsC3EX3uT70KAdHDtXg%2BcDDhTrqWi6D6KDMgjDKcMl2YUXSvtympfymT3%2FL5cAfN%2FABEW8N537HNrW8vzT7p%2BfFR68Qwqe9ESstG%2Bwafq2ClLc%2Bwm7i%2F9EezIXtsL8cWNv4KHCXpubDGBpuTF1vkLN%2F%2B3ujcUgIDODnH0X5p0G4mSsJXkUaJyaOyFlBSrUyIVMXBkK%2FVolfDRs8SU3Kas%3D%7Ctkp%3ABk9SR9jB5-P4YA","","GIANT PROPEL ADV PRO DB 0 XS PANTHER 2022  Road Bike - race Carbon Bike","","Bike"
"","","Racing Bike","Disc Brake - Hydraulic","Giant","","","Panther/Iris / Reflective Black","New:  A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is found in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","X-Small","","","","Drop Bar","","Does Not Apply","Carbon Fibre","PROPEL ADVANCED PRO DISC 0","2022","24 Speed","","","","","","","No Suspension","","","","","700C","Sporting Goods>Cycling Equipment>Bikes","S dollar","622154","AEID-5183","4","GBP 4,158.40","ebay_singapore_bike","2022-10-11 08:50:29","https://www.ebay.com.sg","Singapore","https://www.ebay.com.sg/itm/255670075966?hash=item3b871fc23e:g:YpQAAOSwL2Bi83yk&amdata=enc%3AAQAHAAAAoEDZWLOlJahO9Q07NT00PdhRGg3i52zdh0NnskYurb2WngT%2FmbSqfk31XdM9eZ20m0wby7xwISKyvgga0BH9pp312Wu7JdwJVG%2FnrXTdNrA2kkvv%2BaddNZbncPb5EgDQlJW%2BSNBsTYPGZpPowJN2x1%2BEKev6qHvs3MUjJwlLSbYa6nKTsdZsyutkH%2Fmh50UG0BZ3jiX2FPEFXbr3Q%2FrUWyc%3D%7Ctkp%3ABk9SR9bB5-P4YA","","GIANT PROPEL ADV PRO DB 0 XS PANTHER 2022  Road Bike - race Carbon Bike","","Bike"
"","","Racing Bike","Disc Brake - Hydraulic","Giant","","","Knight Shield / Reflective Rosewood","New:  A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is found in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","X-Large","","","","Drop Bar","","Does Not Apply","Carbon Fiber","PROPEL ADV DB 1","2022","24 Speed","","","","Road Bike Shifter","","","No Suspension","Clincher Tires","","","","700C","Sporting Goods>Cycling Equipment>Bikes","S dollar","622154","AEID-5183","5","US $4,898.00","ebay_singapore_bike","2022-10-11 08:50:29","https://www.ebay.com.sg","Singapore","https://www.ebay.com.sg/itm/325340326684?hash=item4bbfcb6b1c:g:P1EAAOSwWG9jHxZj&amdata=enc%3AAQAHAAAAoJbNn1oIbZpnr1Qo07bR4HOoK858rM1DQ5y4oGx5Ej2Ky%2BCAGFR1Tn8bpqjRY33QtNvLJppeUg2JyTPEWHsLQHS9O7uSo1Ipj%2FWqW1mTfr60YUOltUtAITn%2FNNUZFf59F2633Hh%2FuD9VYaQSqzJE1HA9qr621OuRbvvoOLtJx%2FSLzE7AALDEYL2UOHer1StqCPPUVm66xUfcPmoVBohfIFA%3D%7Ctkp%3ABk9SR9bB5-P4YA","","GIANT PROPEL ADV DB 1 XL KNIGHT SHLD 2022 Road Bike - race Carbon Bike","","Bike"
"","","Mountain Bike","Disc Brake - Hydraulic","Giant","","","Metallic Black","New:  A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is found in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Large","","","","Flat Bar","","Does Not Apply","Aluminum","TRANCE 29 2","2022","12 Speed","","","","","","","Full Suspension (Front & Rear)","Clincher Tires","","","","29 in","Sporting Goods>Cycling Equipment>Bikes","S dollar","622154","AEID-5183","6","US $2,598.00","ebay_singapore_bike","2022-10-11 08:50:29","https://www.ebay.com.sg","Singapore","https://www.ebay.com.sg/itm/325300601527?hash=item4bbd6d42b7:g:fPQAAOSwBwhi86Nv&amdata=enc%3AAQAHAAAAoM5Tptg7I%2F3y%2BYs4tVk28mSogYHlIBerQfh0jFxXGSmTnFFA2bMHRcDAmBes6%2FLucjk7C0VrC1JhTuHVn9MRhuCOxCcERY5YW878DV16%2FJfs5DLqtc0pCPQ3t8VSuBoFAptpx7GU12U2GP%2FWQZSKbfgswqC0hEomK4lX7Kk%2FEyv43mTxkUV7Q6dusO3jvD6cv2L87iP0VxfFvpRFjic0hQY%3D%7Ctkp%3ABk9SR9bB5-P4YA","","GIANT TRANCE 29 2 L  MTLC BLK 2022 - MTB DISC BRAKE Mountain Bikes","","Bike"
"","","Mountain Bike","Disc Brake - Hydraulic","Giant","","","GREY","New:  A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is found in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Large","","","","Flat Bar","","Does Not Apply","Aluminum","TALON 2 29""","2021","16","","","","","","","Front","Clincher Tires","","","","29 in","Sporting Goods>Cycling Equipment>Bikes","S dollar","622154","AEID-5183","7","US $598.00","ebay_singapore_bike","2022-10-11 08:50:29","https://www.ebay.com.sg","Singapore","https://www.ebay.com.sg/itm/325345504420?hash=item4bc01a6ca4:g:vv0AAOSwLpVjJI7O&amdata=enc%3AAQAHAAAAoLLVh%2FWdHJqBvdzi2PR99rhvKmKf3cetCWHgqtqXTiHOkM0%2Bn59TDrRk7c3Alpg3nS%2FRnKqcokadB5auoINuyVk%2FqlUAAmHes0GeONYf4tCvJDVXWXaRQsnLxcP6LVxzyUDIL%2FDJW8%2FAQEINWfqyRxlBO0gGySWCfd%2FfB1kuGelc01%2BZRm8uv8Cpz2ntoqQKPZNcnC1dWD06KEAegDFxMeU%3D%7Ctkp%3ABk9SR9bB5-P4YA","","GIANT TALON 29 2 GREY L 2021 Bike - MTB DISC BRAKE Mountain Bikes","","Bike"
"","","Mountain Bike","Disc Brake - Hydraulic","Giant","","","KNIGHT SHIELD","New:  A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is found in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","X-Large","","","","Flat Bar","","Does Not Apply","Aluminum","TALON 2 29""","2022","18 Speed","","","","","","","Front","Clincher Tires","","","","29 in","Sporting Goods>Cycling Equipment>Bikes","S dollar","622154","AEID-5183","8","US $698.00","ebay_singapore_bike","2022-10-11 08:50:29","https://www.ebay.com.sg","Singapore","https://www.ebay.com.sg/itm/325324852234?hash=item4bbedf4c0a:g:SlgAAOSwHXFjD0hn&amdata=enc%3AAQAHAAAAoG5e%2BqQ3pcZWmnajlyzn9%2B2K9Gz%2FxuJWYVK2A%2FT7EQ%2FGN9uYn71zaEY12nw7mExPhZeVwKVQd1VqycMeog69uehpN1VuV0ve0zNhs76w2kkqj8IXRwlyn9KWTQOpr80xszme%2B2K92ZPHch%2B9P6eL07ZpeGu%2FhO5wRJ4tP6ONOAOcM7CB%2FfiZuQuH%2BHtIyvLJQDcT9BxQGBhzQYd5joiPIG4%3D%7Ctkp%3ABk9SR9bB5-P4YA","","GIANT TALON 2 KNIGHT SHIELD 29 XL  2022 Bike - MTB DISC BRAKE Mountain Bikes","","Bike"
"","","Mountain Bike","Disc Brake - Hydraulic","Giant","","","Metallic Black","New:  A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is found in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Medium","","","","Flat Bar","","Does Not Apply","Aluminum","TRANCE 29 2","2022","12 Speed","","","","","","","Full Suspension (Front & Rear)","Clincher Tires","","","","29 in","Sporting Goods>Cycling Equipment>Bikes","S dollar","622154","AEID-5183","9","US $2,598.00","ebay_singapore_bike","2022-10-11 08:50:30","https://www.ebay.com.sg","Singapore","https://www.ebay.com.sg/itm/325300600099?hash=item4bbd6d3d23:g:xEAAAOSw4tdi86MN&amdata=enc%3AAQAHAAAAoFVteVnM%2BWbh5rGw1KLO9uF9YLubX9tdu2EbssJsMFCTjizw5ktlDJnCr0%2FtEOYwOETZnFI5xJngVkO8iEwSngj8LNZubHeZNCoQxmVzbJtnYq9japjvtVpbFzZO7%2FmcZNiQHdUZU5ABjBgvcaL4gnyowYwvSFF1AivafbxSG8k2CdTxGpzrz%2FAVRYjDT8NX7WpR%2F39JxVXEngX7PUsSMBU%3D%7Ctkp%3ABk9SR9bB5-P4YA","","GIANT TRANCE 29 2 M  MTLC BLK 2022 - MTB DISC BRAKE Mountain Bikes","","Bike"
"","","Mountain Bike","Disc Brake - Hydraulic","Giant","","","Metallic Black","New:  A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is found in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Large","","","","Flat Bar","","Does Not Apply","Aluminium","TRANCE 29 2","2022","12 Speed","","","","","","","Full Suspension (Front & Rear)","","","","","29 in","Sporting Goods>Cycling Equipment>Bikes","S dollar","622154","AEID-5183","10","GBP 1,758.40","ebay_singapore_bike","2022-10-11 08:50:30","https://www.ebay.com.sg","Singapore","https://www.ebay.com.sg/itm/255670329498?hash=item3b8723a09a:g:144AAOSwbwli86N5&amdata=enc%3AAQAHAAAAoI0u2EJZ4qL9QqcDjyKalz4lorn6zS0ndJOmYFWdh8%2BrUIPiRLs6EDV3M0kn%2FSjoxI7nSYcks1E2bIDGgpqV3Lf95o45VpWEpwn%2FD1n9N%2B6AOkNLUesLpHrehrnz4yCmq0Xq3aOTRuseaKIoxdxwy3Ihj30ALMAV6ec5FluFbPgY0CSU6RO1U2Te7Htvkt74xP9v93ah1MqYF8ILJNVFQa0%3D%7Ctkp%3ABk9SR9bB5-P4YA","","GIANT TRANCE 29 2 L  MTLC BLK 2022 - MTB DISC BRAKE Mountain Bikes","","Bike"
